"city","date","pred_probs"
"Vancouver","2023-03-01",0.0638458325123955
"Vancouver","2023-03-02",0.0568826367913995
"Vancouver","2023-03-03",0.0652529108483558
"Vancouver","2023-03-04",0.052298857909798
"Vancouver","2023-03-05",0.0600375672996665
"Vancouver","2023-03-06",0.0660688091990638
"Vancouver","2023-03-07",0.0660688091990638
"Vancouver","2023-03-08",0.0756823541182228
"Vancouver","2023-03-09",0.0767116980907978
"Vancouver","2023-03-10",0.0779964147665927
"Vancouver","2023-03-11",0.0779964147665927
"Vancouver","2023-03-12",0.074278094630965
"Vancouver","2023-03-13",0.0777173062108807
"Vancouver","2023-03-14",0.0576683871851978
"Vancouver","2023-03-15",0.0551156688746335
"Vancouver","2023-03-16",0.0829576597348442
"Vancouver","2023-03-17",0.0829576597348442
"Vancouver","2023-03-18",0.0829576597348442
"Vancouver","2023-03-19",0.13411468730444
"Vancouver","2023-03-20",0.23701342650357
"Vancouver","2023-03-21",0.239195844480103
"Vancouver","2023-03-22",0.343274196435018
"Vancouver","2023-03-23",0.411869394633153
"Vancouver","2023-03-24",0.416699807741404
"Vancouver","2023-03-25",0.412562968319259
"Vancouver","2023-03-26",0.459783337669447
"Vancouver","2023-03-27",0.432159012626794
"Vancouver","2023-03-28",0.437516894523793
"Vancouver","2023-03-29",0.53268518841795
"Vancouver","2023-03-30",0.49779621289944
"Vancouver","2023-03-31",0.447746581734519
"Vancouver","2023-04-01",0.389153336328639
"Vancouver","2023-04-02",0.511488289999371
"Vancouver","2023-04-03",0.492567979848272
"Vancouver","2023-04-04",0.355423539623006
"Vancouver","2023-04-05",0.367561362049457
"Vancouver","2023-04-06",0.352435002385678
"Vancouver","2023-04-07",0.124994787152461
"Vancouver","2023-04-08",0.123483040104975
"Vancouver","2023-04-09",0.138814239560681
"Vancouver","2023-04-10",0.131405866544838
"Vancouver","2023-04-11",0.105438119366973
"Vancouver","2023-04-12",0.0746760389423825
"Vancouver","2023-04-13",0.0960085089746444
"Vancouver","2023-04-14",0.0660288537989168
"Vancouver","2023-04-15",0.0581575477122736
"Vancouver","2023-04-16",0.0581575477122736
"Vancouver","2023-04-17",0.0602394793991635
"Vancouver","2023-04-18",0.07079768577806
"Vancouver","2023-04-19",0.0477451945966776
"Vancouver","2023-04-20",0.0477451945966776
"Vancouver","2023-04-21",0.0477451945966776
"Vancouver","2023-04-22",0.0477451945966776
"Vancouver","2023-04-23",0.0447705193687371
"Vancouver","2023-04-24",0.0447705193687371
"Vancouver","2023-04-25",0.0502132984535704
"Vancouver","2023-04-26",0.0564632230595107
"Vancouver","2023-04-27",0.0534100233570211
"Vancouver","2023-04-28",0.0477603272173498
"Vancouver","2023-04-29",0.0477603272173498
"Vancouver","2023-04-30",0.0384593091305961
