"city","station","lat","long","alt"
"Abashiri","JA000047409",44.0177777777778,144.279722222222,37.58
"Akita","JA000047582",39.7175,140.099166666667,6.3
"Aomori","JA000047575",40.8216666666667,140.768888888889,2.8
"Asahikawa","JA000047407",43.7569444444444,142.372222222222,119.8
"Busan","KSM00047159",35.10468,129.03203,69.56
"Cheongju","KSM00047105",36.63924,127.44066,58.7
"Choshi","JA000047648",35.7397222222222,140.857222222222,20.1
"Daegu","JA000047809",35.87797,128.65295,53.5
"Daejeon","KSM00047133",36.372,127.37212,68.9
"Fukui","JA000047616",36.0555555555556,136.2225,8.8
"Fukuoka","JA000047807",33.5822222222222,130.376388888889,2.5
"Fukushima","JA000047570",37.7594444444444,140.470833333333,67.44
"Gifu","JA000047632",35.4002777777778,136.7625,12.7
"Gwangju","JA000047805",35.17294,126.89158,72.38
"Hakodate","JA000047430",41.8166666666667,140.754166666667,35
"Hikone","JA000047761",35.2761111111111,136.243888888889,87.3
"Hiroshima","JA000047765",34.3986111111111,132.462777777778,3.6
"Incheon","KS000047112",37.47772,126.6249,68.99
"Ishigakijima","JAM00047918",24.3366666666667,124.164444444444,5.7
"Jeju","KSM00047184",33.51411,126.52968,20.45
"Kagoshima","JA000047827",31.555,130.548055555556,3.9
"Kanazawa","JA000047605",36.5897222222222,136.634722222222,5.7
"Kobe","JA000047770",34.6969444444444,135.212777777778,5.3
"Kochi","JA000047893",33.5680555555556,133.549444444444,0.5
"Kofu","JA000047638",35.6672222222222,138.553888888889,272.8
"Kumagaya","JA000047626",36.15,139.38,30
"Kumamoto","JA000047819",32.8136111111111,130.706944444444,37.72
"Kushiro","JA000047418",42.9858333333333,144.377777777778,4.5
"Kyoto","JA000047759",35.0119831,135.6761135,44
"Maebashi","JA000047624",36.4052777777778,139.060555555556,112.1
"Matsue","JA000047741",35.4572222222222,133.065555555556,16.9
"Matsuyama","JA000047887",33.8436111111111,132.7775,32.16
"Minamidaitojima","JAM00047945",25.8288888888889,131.228611111111,15.3
"Mito","JA000047629",36.3811111111111,140.468055555556,29
"Miyakojima","JAM00047927",24.7944444444444,125.278333333333,39.9
"Miyazaki","JA000047830",31.9383333333333,131.414166666667,9.2
"Mokpo","KS000047165",34.81689,126.38121,38
"Morioka","JA000047584",39.6983333333333,141.166111111111,155.2
"Muroran","JA000047423",42.3116666666667,140.975277777778,39.89
"Nagano","JA000047610",36.6627777777778,138.1925,418.2
"Nagasaki","JA000047817",32.7341666666667,129.868055555556,26.9
"Nagoya","JA000047636",35.1677777777778,136.965555555556,51.1
"Naha","JA000047936",26.2072222222222,127.687222222222,28.06
"Nara","JA000047780",34.6938888888889,135.827777777778,104.4
"Naze","JA000047909",28.3797222222222,129.495555555556,2.8
"Niigata","JA000047604",37.8936111111111,139.018888888889,4.1
"Obihiro","JA000047417",42.9222222222222,143.211944444444,38.4
"Oita","JA000047815",33.2361111111111,131.619166666667,4.6
"Okayama","JA000047768",34.6858333333333,133.925277777778,5.32
"Osaka","JAM00047772",34.6822222222222,135.519166666667,23
"Pohang","KSM00047138",36.03201,129.38002,3.94
"Saga","JA000047813",33.2663888888889,130.305277777778,5.47
"Sapporo","JA000047412",43.06,141.328611111111,17.45
"Sendai","JA000047590",38.2619444444444,140.896666666667,38.85
"Seogwipo","JA000047843",33.24613,126.56534,49.03
"Seoul","KSM00047108",37.57142,126.9658,85.67
"Shimonoseki","JA000047762",33.9486111111111,130.926111111111,3.3
"Shizuoka","JA000047656",34.9761111111111,138.403888888889,14.1
"Suwon","KSM00047101",37.27226,126.98533,34.84
"Takamatsu","JA000047891",34.3180555555556,134.054444444444,8.7
"Tokushima","JA000047895",34.0677777777778,134.573333333333,1.6
"Tokyo","JA000047662",35.6916666666667,139.751111111111,25.2
"Tottori","JA000047746",35.4877777777778,134.238333333333,7.1
"Toyama","JA000047607",36.7094444444445,137.2025,8.6
"Tsu","JA000047651",34.7341666666667,136.519722222222,2.7
"Ulleungdo","KS000047115",37.48129,130.89864,222.4
"Ulsan","JA000047800",35.5825,129.3347222,82
"Utsunomiya","JA000047615",36.5497222222222,139.868333333333,119.4
"Wakayama","JA000047777",34.2288888888889,135.164166666667,13.9
"Wakkanai","JA000047401",45.415,141.678888888889,2.85
"Yamagata","JA000047588",38.2555555555556,140.346111111111,152.5
"Yeosu","KSM00047168",34.73929,127.74064,64.64
"Yokohama","JA000047670",35.4397222222222,139.6525,39.1
