"city","date","pred_probs"
"Liestal","2023-03-01",0.00375133775687147
"Liestal","2023-03-02",0.00496543812026994
"Liestal","2023-03-03",0.00580142991772443
"Liestal","2023-03-04",0.00345963601269777
"Liestal","2023-03-05",0.00430204448040295
"Liestal","2023-03-06",0.00740890497350068
"Liestal","2023-03-07",0.00464626627913207
"Liestal","2023-03-08",0.00545133039306702
"Liestal","2023-03-09",0.00523172476632846
"Liestal","2023-03-10",0.00736177668361041
"Liestal","2023-03-11",0.00606217840137807
"Liestal","2023-03-12",0.00651496779490302
"Liestal","2023-03-13",0.0126767698262712
"Liestal","2023-03-14",0.00881105026330984
"Liestal","2023-03-15",0.0141003107016212
"Liestal","2023-03-16",0.017032203706369
"Liestal","2023-03-17",0.0150282650071714
"Liestal","2023-03-18",0.00687518719832352
"Liestal","2023-03-19",0.00947448943830956
"Liestal","2023-03-20",0.00858001784063278
"Liestal","2023-03-21",0.00700082785181203
"Liestal","2023-03-22",0.0101166748838722
"Liestal","2023-03-23",0.035182388705292
"Liestal","2023-03-24",0.0261902748143539
"Liestal","2023-03-25",0.0221594659659192
"Liestal","2023-03-26",0.0512044778985765
"Liestal","2023-03-27",0.059448307506184
"Liestal","2023-03-28",0.132444587954512
"Liestal","2023-03-29",0.109776022190475
"Liestal","2023-03-30",0.14120387767167
"Liestal","2023-03-31",0.299006853622313
"Liestal","2023-04-01",0.0847347679209115
"Liestal","2023-04-02",0.153032352568498
"Liestal","2023-04-03",0.447821682059454
"Liestal","2023-04-04",0.442579071535119
"Liestal","2023-04-05",0.195647212774855
"Liestal","2023-04-06",0.195647212774855
"Liestal","2023-04-07",0.567786238820564
"Liestal","2023-04-08",0.743564288152008
"Liestal","2023-04-09",0.698315382714838
"Liestal","2023-04-10",0.768003975155483
"Liestal","2023-04-11",0.633380868529298
"Liestal","2023-04-12",0.500372787872025
"Liestal","2023-04-13",0.739653842792222
"Liestal","2023-04-14",0.480430266264619
"Liestal","2023-04-15",0.690783612361949
"Liestal","2023-04-16",0.689427141006947
"Liestal","2023-04-17",0.390328067459535
"Liestal","2023-04-18",0.677115386853665
"Liestal","2023-04-19",0.678756942788069
"Liestal","2023-04-20",0.560758283424733
"Liestal","2023-04-21",0.672606660764457
"Liestal","2023-04-22",0.542026109112621
"Liestal","2023-04-23",0.513298822145346
"Liestal","2023-04-24",0.687412812664901
"Liestal","2023-04-25",0.710168469366127
"Liestal","2023-04-26",0.731583080657546
"Liestal","2023-04-27",0.581374424808109
"Liestal","2023-04-28",0.362160022910923
"Liestal","2023-04-29",0.29378599498949
"Liestal","2023-04-30",0.296859420175137
